Trending 20																												
Date	Trend20 Open Interest Total	Trend20 Reportable Positions Net	Trend20 Reportable Positions Long	Trend20 Reportable Positions Short	Trend20 Prod_Merc_Positions Total	Trend20 Prod_Merc_Positions Net	Trend20 Prod_Merc_Positions Long	Trend20 Prod_Merc_Positions Short	Trend20 Swap_Positions Total	Trend20 Swap_Positions Net	Trend20 Swap_Positions Long	Trend20 Swap_Positions Short	Trend20 Swap_Positions Spread	Trend20 M_Money_Positions Total	Trend20 M_Money_Positions Net	Trend20 M_Money_Positions Long	Trend20 M_Money_Positions Short	Trend20 M_Money_Positions Spread	Trend20 Other_Rept_Positions Total	Trend20 Other_Rept_Positions Net	Trend20 Other_Rept_Positions Long	Trend20 Other_Rept_Positions Short	Trend20 Other_Rept_Positions Spread	Trend20 NonRept_Positions Total	Trend20 NonRept_Positions Net	Trend20 NonRept_Positions Long	Trend20 NonRept_Positions Short	Net
10.08.2010	0,4453530	0,4559149	0,4454773	0,3339512	0,8580456	0,6023036	0,2623837	0,8063666	0,1874876	-0,2123385	-0,1907327	-0,6265273	0,7342585	-0,4049183	-0,5426475	0,5959701	-0,5005789	0,1611159	0,7213027	0,1101741	0,5253593	0,8915657	-0,4293632	0,5877010	0,4559149	0,2663208	0,7886993	6
17.08.2010	0,4284225	-0,1922842	0,4165327	0,3191707	0,8458216	0,6528767	0,1206220	0,8138395	-0,3636629	-0,0176404	-0,3824141	-0,5990387	0,7539322	-0,4469152	-0,6085462	0,6476416	-0,5657218	-0,1813659	0,7094956	0,0452312	0,5709355	0,8861064	-0,2774212	0,5990359	-0,1922842	0,3227360	0,7414818	10
24.08.2010	0,4135320	-0,1095750	0,3958045	0,3084860	0,8400421	0,6678947	0,0646462	0,8127825	-0,5241940	-0,0224968	-0,5529158	-0,5689930	0,7783105	-0,4531176	-0,6412752	0,6935856	-0,5857116	-0,2885742	0,7399030	0,0017882	0,6188975	0,8696814	-0,1232713	0,5905818	-0,1095750	0,3493247	0,7026112	10
31.08.2010	0,2927438	-0,0441524	-0,2475753	0,1998078	0,8030819	0,6472982	0,0226906	0,7826692	-0,5984942	-0,1578980	-0,6836745	-0,5168139	0,7977791	-0,4658960	-0,6650471	0,7401457	-0,6012601	-0,3645411	0,7206485	0,0035372	0,5351596	0,8586231	-0,0567244	0,5845808	-0,0441524	0,3842139	0,6376839	12
07.09.2010	0,2345525	0,0382111	0,2012348	0,1602911	0,7805937	0,6471493	0,0007397	0,7673876	-0,6578977	-0,3051698	-0,7808849	-0,4582715	0,7873889	-0,4505058	-0,6907620	0,7835985	-0,6158187	-0,3741747	0,7279227	0,0007276	0,5203564	0,8443762	-0,0189142	0,4433260	0,0382111	0,2831041	0,4996646	7
14.09.2010	0,1886080	-0,0046033	0,1457712	0,1237066	0,7654923	0,6531084	0,0120883	0,7544197	-0,7170757	-0,4704615	-0,8620520	-0,4091044	0,7796239	-0,4230918	-0,7361241	0,8416102	-0,6474737	-0,3595996	0,6851697	0,0075621	0,4502292	0,8265061	-0,0061837	0,4260005	-0,0046033	0,2991262	0,4418481	7
21.09.2010	0,1321545	-0,0154258	0,0739221	0,0765085	0,7293477	0,6375727	0,0410583	0,7229183	-0,7929828	-0,6133323	-0,9268561	-0,3611829	0,7566155	-0,4466669	-0,7617307	0,8602219	-0,6765073	-0,3505455	0,6289592	0,0184854	0,3635017	0,8079925	-0,0014546	0,4361050	-0,0154258	0,3486409	0,3978948	3
28.09.2010	0,0823806	-0,0545980	0,0296927	0,0417217	0,6836362	0,6181901	0,0850372	0,6829165	-0,8297930	-0,6487901	-0,9415841	-0,3445343	0,7353247	-0,5008249	-0,7755581	0,8273354	-0,7150119	-0,2681172	0,5868373	-0,0559437	0,2821710	0,8062993	0,0040625	0,4078372	-0,0545980	0,3454827	0,3327498	8
05.10.2010	0,0479587	-0,0934527	0,0109787	0,0246426	0,6733873	0,5907636	0,0734239	0,6628557	-0,8007569	-0,6143308	-0,9215821	-0,3471511	0,7300165	-0,5889026	-0,7483736	0,6983682	-0,7407657	-0,1733023	0,5363794	-0,1128785	0,2246953	0,8078273	0,0032539	0,3066484	-0,0934527	0,2826613	0,2013143	13
12.10.2010	0,0517858	-0,1470444	0,0177032	0,0390097	0,6546040	0,4914264	0,0196341	0,6030184	-0,7387518	-0,5720805	-0,8899685	-0,3111213	0,7195625	-0,4851072	-0,6505012	0,5759066	-0,6587393	-0,0518234	0,4923585	0,1440488	0,1776815	0,7841540	-0,0241476	0,1948524	-0,1470444	0,2317220	0,0570304	5
19.10.2010	0,1220171	-0,1866764	0,0851054	0,1183464	0,6739654	0,3809279	0,0124531	0,5685147	-0,6679321	-0,5126146	-0,8469489	-0,2649048	0,7036444	-0,3456389	-0,5258654	0,4270893	-0,5510444	-0,0015865	0,4548943	0,1174037	0,1434931	0,6992737	0,0041130	0,1344908	-0,1866764	0,2004094	0,0095423	14
26.10.2010	0,2538515	-0,3428222	0,2045006	0,2617861	0,6860459	0,2871222	0,0880832	0,5289082	-0,6050818	-0,4596707	-0,7922793	-0,2065699	0,6949927	-0,1818549	-0,3987944	0,2996988	-0,4295698	0,1133055	0,4285813	-0,0658225	0,1280757	0,6347852	0,0044564	0,1733101	-0,3428222	0,2937667	0,0008445	11
02.11.2010	0,4042622	-0,5032859	0,3421726	0,4282869	0,6774968	0,2134571	-0,2005124	0,4806496	-0,5961814	-0,4859940	-0,7483774	-0,1275239	0,5435965	-0,0356221	-0,2734132	0,2054657	-0,2921707	0,3066956	0,4791274	-0,0000343	0,2470632	0,5663020	0,0460660	0,2214704	-0,5032859	0,4078483	-0,0073724	10
09.11.2010	0,5998709	-0,6886125	0,5109614	0,6385524	0,6722066	0,1480019	-0,4014798	0,4368553	-0,5816685	-0,4114740	-0,6768145	-0,0862764	0,4183013	-0,0271565	-0,1332348	0,1137918	-0,1318160	0,4942629	0,5621147	-0,0946385	0,4202143	0,5053295	0,1275983	0,3382453	-0,6886125	0,5625783	0,0143405	4
16.11.2010	0,5594555	-0,5740999	0,4793571	0,5878418	0,5140610	0,0215734	0,5110837	0,2465366	-0,5486899	-0,3526285	-0,6202462	-0,0606683	0,3596345	-0,1613564	-0,0052675	-0,0023779	-0,0072339	0,5007201	0,5811094	-0,2823312	0,5154585	0,1680224	0,2072533	0,3216971	-0,5740999	0,5059830	0,0047504	23
23.11.2010	0,4191242	-0,3864335	0,3698329	0,4501081	0,3142491	0,0404750	0,5348990	0,0492643	-0,4012558	-0,2888506	-0,5054239	-0,0122232	0,2844716	-0,3013358	-0,0860366	-0,0614401	-0,1026928	0,3945475	0,5446816	-0,4152063	0,5299863	-0,0002668	0,2376014	0,1499233	-0,3864335	0,2916122	0,0437996	24
30.11.2010	-0,0956207	-0,2132760	-0,0636965	-0,1115008	0,0458805	-0,3393667	0,4662008	-0,0567272	-0,4088342	-0,1435757	-0,3553141	0,0314896	-0,0402609	-0,1694399	-0,3632911	-0,2719785	0,4277112	0,2197716	-0,2104428	-0,3815382	0,3259007	-0,1216601	-0,1635113	0,0524050	-0,2132760	0,1374266	-0,0551961	23
07.12.2010	0,0085000	-0,1236397	-0,0010396	0,0140685	0,0001863	0,3899316	0,2964003	0,1795648	-0,5281087	-0,0131941	-0,2104669	-0,2855571	-0,0007367	0,1495189	-0,5139179	0,3890108	0,5948390	0,1733159	-0,0376499	-0,3184762	0,1628504	-0,2801504	0,0900035	0,0157461	-0,1236397	0,0637777	-0,0481625	4
14.12.2010	-0,0082865	-0,0704509	-0,0186626	-0,0029204	-0,0063623	0,2433296	-0,1436734	0,1550712	-0,5443493	-0,0222493	-0,0784924	-0,5079394	-0,0567555	0,1265501	-0,5304680	-0,4144231	0,5980635	0,1562264	-0,0034123	-0,3052859	0,0775117	-0,4347234	-0,0053047	-0,0010931	-0,0704509	0,0119407	-0,0874589	5
21.12.2010	-0,0306030	-0,0339619	-0,0426961	-0,0199063	-0,0027552	0,1082193	-0,0658019	-0,0706277	-0,5149168	-0,2205382	-0,0003397	-0,7047007	-0,1592904	0,0885977	-0,4806538	-0,4060525	0,5069215	0,1660695	-0,0558310	-0,2640201	-0,0174919	-0,4766983	0,0039948	0,0108332	-0,0339619	0,0004050	-0,0883431	0
28.12.2010	-0,0432031	-0,0097484	-0,0405715	-0,0247723	0,0024791	0,0063740	-0,0112783	0,0009817	-0,4503469	0,6684385	-0,1465563	-0,8686621	-0,1746753	0,0911902	-0,3867812	-0,3368717	0,3972480	0,2057888	-0,1515849	-0,3224728	-0,0148742	-0,5770615	-0,1338653	-0,0875570	-0,0097484	-0,0227808	-0,1734347	-3
04.01.2011	-0,0215246	-0,0093143	-0,0240758	-0,0134523	0,0084785	0,0165296	0,0037617	0,0192603	-0,3413649	0,8576542	0,5833909	-0,8338275	-0,2951049	0,1201796	-0,2653527	-0,2480739	0,2533096	0,3286949	-0,1997756	-0,3461744	-0,0040613	-0,6807835	-0,1239087	-0,0269177	-0,0093143	-0,0029863	-0,0944877	-4
11.01.2011	-0,0100514	-0,0240465	-0,0122845	-0,0040361	0,0064757	0,0752543	-0,0483350	0,0545582	-0,2995893	0,7889157	0,6289046	-0,7424506	-0,3360596	0,1359757	-0,1527880	-0,1649742	-0,1217328	0,4011280	-0,1827670	0,3861953	-0,0041664	-0,7256728	-0,0505044	-0,0230862	-0,0240465	0,0003354	-0,1191874	-3
18.01.2011	0,0002356	-0,0200912	0,0002828	0,0002693	0,0193523	0,1542718	0,0906205	0,1183199	-0,3128337	0,6459944	0,4929900	-0,6293431	-0,3738875	0,1582689	-0,0832678	-0,1010356	0,0568286	0,4284920	0,1026028	-0,5651561	0,0479560	-0,7677281	0,0012747	0,0136970	-0,0200912	0,0000138	0,0857040	-6
25.01.2011	0,0006599	-0,0407185	0,0001229	0,0028481	0,0496133	0,2385417	0,1237721	0,1883541	-0,4353102	0,5050300	-0,3264364	-0,5389858	-0,4552472	0,1542159	-0,0072664	-0,0146731	0,0015258	0,4247521	0,0867582	-0,4840965	0,0115727	-0,7233134	0,0243776	0,0014104	-0,0407185	0,0052639	0,0648875	-11
01.02.2011	0,0116159	-0,0371558	0,0133131	0,0193738	0,0996214	0,3823886	0,1909636	0,3008784	-0,3431997	0,4230808	0,3233100	-0,4297328	0,4320779	0,1916588	-0,0206933	-0,0171200	0,0211450	0,4177855	0,0651901	-0,4162050	0,0015485	-0,6824196	0,0690548	0,0071037	-0,0371558	0,0018236	0,0967903	-11
08.02.2011	0,0599670	-0,0738066	0,0581710	0,0681877	0,1820891	0,5670143	0,2884402	0,4486033	0,2309590	0,3472077	0,2955962	-0,3023066	-0,3811545	0,2713750	0,1757515	0,1879511	0,1211053	0,4048983	0,0164345	-0,3585936	0,0011792	-0,5582493	0,1391952	0,0179444	-0,0738066	0,0426046	0,0069736	-19
15.02.2011	0,0955038	-0,1108540	0,0804775	0,0948486	0,1755297	0,6443150	-0,4000055	0,4857894	0,0903006	0,1869392	0,1605705	-0,1498650	0,1497449	0,2714066	0,3692959	0,3782669	0,2632054	0,2931329	0,0015893	-0,3041573	0,0000505	-0,4746185	0,2032775	0,1152585	-0,1108540	0,1319763	0,0290668	-14
22.02.2011	0,0858240	-0,1667108	0,0519665	0,0765824	0,1203531	0,5939753	-0,4291791	0,4179186	-0,0633512	0,0415096	-0,0277355	-0,0412096	-0,0769068	0,1518789	0,4200800	0,3779464	0,3671799	-0,1587513	0,0007660	-0,2590214	0,0065222	-0,4618223	0,2575816	0,2342409	-0,1667108	0,2340628	0,1083500	-4
01.03.2011	-0,0324719	-0,1562359	-0,0095561	-0,0255548	-0,0277116	0,5295845	-0,4767991	0,2823368	-0,0093067	0,0045457	0,0245295	0,0024675	-0,0577567	-0,0044056	0,4016216	-0,2270460	-0,5343590	-0,0592375	-0,0008315	-0,2380630	0,0159336	-0,4629915	0,2828288	0,2159451	-0,1562359	0,2175208	0,0969435	-6
08.03.2011	-0,0141445	-0,1725456	-0,0020638	-0,0136513	-0,0043279	0,4346655	-0,4661711	-0,1818944	0,0203648	0,0070049	0,0297067	0,1017749	-0,0262943	-0,0100762	0,3597798	-0,1306536	-0,5815180	-0,0286268	-0,0009473	-0,1493801	-0,0485334	-0,4357331	0,3081988	-0,1127515	-0,1725456	0,1557198	-0,0084939	-2
15.03.2011	-0,0113150	0,1271592	-0,0026776	-0,0122700	-0,0014240	0,2750353	-0,3976200	-0,0979182	0,1271992	-0,1119983	-0,0006864	0,2894488	-0,0018762	-0,0481466	0,3192296	-0,0696577	-0,6164968	-0,0112017	-0,0000008	-0,0755932	-0,0826152	-0,3913710	0,3709252	-0,0595552	0,1271592	-0,0960833	-0,0004421	11
22.03.2011	-0,0073945	0,1223679	-0,0013045	-0,0090611	-0,0016225	-0,1370658	-0,3588753	-0,0299703	0,2953368	-0,2330599	0,0001094	0,4746704	-0,0000513	-0,0918770	-0,2373778	-0,0212067	-0,6050765	-0,0028211	-0,0058208	-0,0127113	-0,0974305	-0,2842065	0,4279516	-0,0381930	0,1223679	-0,0756460	-0,0013484	0
29.03.2011	-0,0068878	0,1741386	-0,0010304	-0,0104371	-0,0118027	-0,0846130	-0,3544402	-0,0081382	0,3032597	-0,3070444	0,0032576	0,6173926	-0,0223451	-0,1065498	0,1799431	-0,0058073	-0,5699404	-0,0030654	-0,0558324	-0,0003447	-0,0638687	-0,1652678	0,5449857	-0,0260020	0,1741386	-0,0769332	-0,0176061	-2
05.04.2011	-0,0172736	-0,3481033	-0,0043645	-0,0244793	-0,0101116	0,0774633	-0,3285316	0,0077991	0,2422963	-0,3405453	0,0000061	0,6191718	-0,0335001	-0,1047618	-0,1638495	0,0055906	-0,5397227	0,0001566	-0,1850049	-0,0025042	-0,0183224	-0,0339435	0,6300571	-0,0532361	-0,3481033	0,1539996	-0,0230005	-9
12.04.2011	-0,0115199	-0,1958788	-0,0035094	-0,0145738	0,0289366	0,0167747	-0,2385180	0,0010211	-0,2827194	0,4235221	0,0175143	0,6192206	-0,0016045	-0,1817735	-0,0892150	0,0033989	-0,5136723	-0,0289567	-0,3552354	-0,0021277	-0,0003428	-0,0015603	0,7356601	0,0385525	-0,1958788	0,0897493	-0,0035235	-6
19.04.2011	0,0030847	-0,0913308	0,0019806	0,0063660	0,0757895	0,0161009	-0,1224621	0,0475758	0,5160244	-0,6296422	-0,0982125	0,7889812	0,0392798	-0,2817123	-0,0199843	0,0474963	-0,4471459	-0,1327236	0,5669781	0,0220289	0,0528169	0,0122171	0,8225358	-0,0000029	-0,0913308	0,0095404	-0,0336130	-11
26.04.2011	-0,0257304	-0,0167716	-0,0292222	-0,0205664	-0,2436776	0,2738943	-0,1074340	-0,2677117	0,3075276	-0,6355714	-0,1526505	0,7152768	0,0230744	-0,4049875	0,0029663	0,1376778	-0,4528949	-0,3440380	0,4295305	0,0471309	-0,0083452	0,0566444	0,7089461	-0,0259997	-0,0167716	-0,0082314	-0,0708855	-14
03.05.2011	-0,1111572	-0,0066428	-0,1179289	-0,1074448	-0,3845198	-0,4597573	-0,1661721	-0,4294513	0,1402598	-0,6113145	-0,1740918	0,6407490	0,0047868	-0,3992938	0,0182078	0,1305488	-0,3342350	-0,4557055	0,2407311	0,2111138	-0,1060343	0,1678308	0,4451130	-0,0800835	-0,0066428	-0,0595973	-0,1104628	-9
10.05.2011	-0,2504063	0,1216163	-0,2518864	-0,2506830	-0,5073437	-0,5887221	-0,2066280	-0,5591810	-0,0030841	-0,6184929	-0,2492566	0,5448770	0,0016116	-0,4079141	0,0428482	-0,1309930	-0,1893649	-0,5765547	0,0869596	0,3437774	-0,2403598	0,2103772	0,2532947	-0,1883122	0,1216163	-0,1857153	0,1709518	-13
17.05.2011	-0,4155299	0,3016299	-0,4167410	-0,4258287	-0,6104313	-0,6607086	0,1183401	-0,6672870	-0,0378258	-0,6286385	-0,3203734	0,4611449	-0,0211823	-0,4410171	-0,1486163	-0,1935723	0,0165533	-0,6887361	0,0036719	0,4138558	-0,3607366	0,1984370	0,0879772	0,2745452	0,3016299	-0,3151926	0,1723120	-12
24.05.2011	-0,5474982	0,3813393	-0,5500406	-0,5591048	-0,6707514	-0,6846345	-0,1846475	-0,7101664	-0,1394782	-0,6314543	-0,3703485	0,3671871	0,0532712	-0,4531187	-0,1243584	-0,1846153	-0,0321256	-0,7067215	0,0193267	0,4777260	-0,4316058	0,2341495	0,0027889	0,3376773	0,3813393	-0,3925352	0,2027093	-15
31.05.2011	-0,6414925	0,4715740	-0,6456607	-0,6567723	-0,7112224	-0,6879797	-0,2775552	-0,7336322	-0,2522897	-0,6317435	-0,3946685	0,2084851	0,1121557	-0,4428435	-0,0719858	-0,1645622	-0,0926511	-0,6225467	0,1214134	0,5960610	-0,5791122	0,2846805	0,0369586	0,3580155	0,4715740	-0,4416688	0,1795258	-16
07.06.2011	-0,7363104	0,5648320	-0,7447559	-0,7587816	-0,7716041	-0,7411838	-0,3520498	-0,7911682	-0,4076911	-0,6265128	-0,4595772	0,0742019	0,1841411	-0,4011928	-0,0908478	-0,1935952	0,0955067	-0,4641362	-0,3763842	0,7081866	-0,7614516	0,3033349	-0,2116541	0,2880359	0,5648320	0,4160372	0,0917124	-10
14.06.2011	-0,7967540	0,6869095	-0,8075640	-0,8269927	-0,8175367	-0,8066489	-0,3974273	-0,8433623	-0,5859929	-0,5890244	-0,5176055	0,0053229	-0,3052441	-0,3010587	-0,1861192	-0,2453012	0,0018397	-0,3287111	-0,5507205	0,6974987	-0,7287529	0,3218168	-0,4756734	0,2058674	0,6869095	-0,3890510	0,0197681	-11
21.06.2011	-0,7615797	0,6988144	-0,7834999	-0,8053202	-0,8172465	-0,8203209	-0,3264016	-0,8456716	-0,7238166	-0,4110892	-0,4866756	-0,0325527	-0,3899724	-0,1193315	-0,2405865	-0,2091247	0,0624335	-0,2291438	-0,5957232	0,7683250	-0,7625824	0,4435227	-0,5903818	-0,1077596	0,6988144	-0,2878934	0,0001340	0
28.06.2011	-0,7568120	0,6466259	-0,7830872	-0,8041463	-0,8169776	-0,8241647	-0,3198916	-0,8458332	-0,8290455	-0,2107481	-0,4492606	-0,2139185	-0,4425301	-0,0100240	-0,2803612	-0,1667779	0,1821729	-0,1023059	-0,6621117	0,8238992	-0,8036941	-0,4384877	-0,6918811	-0,0441243	0,6466259	-0,1899876	-0,0152103	4
05.07.2011	-0,7861967	0,6103548	-0,8087219	-0,8330894	-0,8285261	-0,8302245	-0,3177026	-0,8593244	-0,8384923	0,0216417	0,2320631	-0,4297738	-0,4932062	-0,0918178	-0,2997983	-0,1017628	0,3088304	-0,0139639	-0,6602256	-0,8516917	-0,8030951	0,5939498	-0,7150667	-0,0010937	0,6103548	-0,0900787	-0,0843741	8
12.07.2011	-0,8410686	0,5881529	-0,8462450	-0,8665134	-0,8278024	-0,8226370	-0,3275912	-0,8578170	-0,7937304	0,0038587	0,1225278	-0,6231148	-0,4858494	0,4475045	-0,3276079	-0,0530677	0,4322459	-0,0046814	-0,6543219	-0,8651402	-0,8033055	0,7113153	-0,7219764	-0,0355395	0,5881529	-0,0180785	-0,2557773	2
19.07.2011	-0,8576414	0,5953031	-0,8465064	-0,8706546	-0,8272560	-0,8278091	-0,3412111	-0,8607884	-0,8144911	0,0247277	-0,1109277	-0,7938785	-0,4607999	0,7552793	-0,4101219	-0,0607899	0,5642333	0,0934629	-0,6949706	-0,8634989	-0,8040481	0,6323433	-0,7627773	-0,2172647	0,5953031	-0,0190811	0,4420395	-7
26.07.2011	-0,8806294	0,5927374	-0,8905896	-0,9016613	-0,8699044	-0,8285018	-0,5208988	-0,8820254	-0,8208435	0,1070489	-0,0508237	-0,8697979	-0,4985105	0,7787986	-0,5087837	-0,1578051	0,6247004	0,1710410	-0,7635798	0,8648052	-0,8068434	0,5697390	-0,8090321	0,3433502	0,5927374	-0,0789965	0,5379930	-7
02.08.2011	-0,8802757	0,5927040	-0,8946679	-0,9044822	-0,8828256	-0,8296167	-0,5752408	-0,8885505	-0,7587783	0,2314946	0,0048823	-0,9107613	-0,4496613	0,7993506	-0,5779849	-0,2559707	0,6620165	0,2808817	-0,8476471	0,8658464	-0,8399048	0,5523198	-0,8429440	0,3932890	0,5927040	-0,1193192	0,5664299	-9
09.08.2011	-0,8835376	0,6235248	-0,8953102	-0,9083147	-0,8968237	-0,8576914	-0,5392314	-0,9080215	-0,7474121	0,2142785	-0,0066730	-0,9081068	-0,3986707	0,8211673	-0,6275825	-0,3203183	0,6967567	0,3295020	-0,8842900	0,8530792	-0,8526459	0,4465233	-0,8457175	0,3719552	0,6235248	-0,0804024	0,5766856	1
16.08.2011	-0,8713227	0,6103989	-0,8769285	-0,8905812	-0,9131077	-0,8742822	-0,5491825	-0,9244739	-0,6639896	0,2438704	-0,0000267	-0,8949703	0,3335901	0,8051654	-0,6956576	0,4475583	0,7286370	-0,3012706	-0,8745999	0,8417211	-0,8495094	0,3850333	-0,8064649	0,3131474	0,6103989	-0,0523344	0,5221468	-13
23.08.2011	-0,8440298	0,6206479	-0,8369393	-0,8546906	-0,8953751	-0,8256384	-0,5951483	-0,8939353	-0,5838914	0,3871595	-0,0443881	-0,8951012	-0,4151825	0,7410589	-0,7327343	-0,5905973	0,7233216	-0,2951875	-0,8094218	0,8289007	-0,8266400	0,3621591	-0,7204764	-0,2124609	0,6206479	-0,0129235	0,4301106	-22
30.08.2011	-0,8457625	0,6588765	-0,8346975	-0,8520716	-0,8656254	-0,7333088	-0,6276842	-0,8442260	-0,5486933	-0,4131494	-0,0811043	-0,8429370	-0,4695249	0,4592303	-0,6299542	-0,6249635	0,5541847	0,3181432	-0,7930229	0,7850857	-0,8082250	0,1555394	-0,6638016	-0,0964564	0,6588765	-0,0031257	0,3156372	-19
