Коэффициенты текущей динамики																												
Date	CoefDyn Open Interest Total	CoefDyn Reportable Positions Net	CoefDyn Reportable Positions Long	CoefDyn Reportable Positions Short	CoefDyn Prod_Merc_Positions Total	CoefDyn Prod_Merc_Positions Net	CoefDyn Prod_Merc_Positions Long	CoefDyn Prod_Merc_Positions Short	CoefDyn Swap_Positions Total	CoefDyn Swap_Positions Net	CoefDyn Swap_Positions Long	CoefDyn Swap_Positions Short	CoefDyn Swap_Positions Spread	CoefDyn M_Money_Positions Total	CoefDyn M_Money_Positions Net	CoefDyn M_Money_Positions Long	CoefDyn M_Money_Positions Short	CoefDyn M_Money_Positions Spread	CoefDyn Other_Rept_Positions Total	CoefDyn Other_Rept_Positions Net	CoefDyn Other_Rept_Positions Long	CoefDyn Other_Rept_Positions Short	CoefDyn Other_Rept_Positions Spread	CoefDyn NonRept_Positions Total	CoefDyn NonRept_Positions Net	CoefDyn NonRept_Positions Long	CoefDyn NonRept_Positions Short	Net
23.03.2010	0,0107677	-0,0579745	0,0104395	0,0142523	0,0110372	-0,0231422	0,0645555	-0,0019162	0,0189068	0,0033488	0,0112465	0,0554047	0,0643888	0,0098140	0,0436414	-0,0128124	0,0112802	0,0413727	-0,0033909	1,0345388	-0,0534415	0,0782549	-0,0251206	-0,0032308	-0,0579745	0,0148827	-0,0141310	11
30.03.2010	0,0275128	-0,0395011	0,0273648	0,0308259	0,0146632	-0,0795217	0,1499893	-0,0202721	0,0204219	-0,0043115	0,0050142	0,0545851	0,2239243	0,0238927	0,1971844	-0,0073382	0,0827383	-0,0863153	0,0883551	0,0179748	0,0500739	0,0427425	0,1363226	0,0131804	-0,0395011	0,0293603	0,0031573	12
06.04.2010	0,0398278	0,1153744	0,0395697	0,0359136	0,0215233	-0,0207489	0,0701388	0,0067918	0,0306422	-0,0066984	0,0089958	0,0877591	0,2338170	0,0408185	0,0275480	0,0213314	0,0243587	0,1243411	0,0436546	-0,5318815	0,1768382	0,0188110	-0,0024086	0,0591541	0,1153744	0,0430424	0,0693956	13
13.04.2010	0,0107001	-0,0423358	0,0094977	0,0121895	0,0403613	0,0824389	-0,0039204	0,0546238	-0,0068515	0,0135216	0,0061029	-0,0278958	-0,1323900	-0,0128150	-0,1331234	0,0096507	-0,0600934	0,0901144	0,0371008	0,9593462	-0,0121992	0,0873374	0,0335191	0,0096855	-0,0423358	0,0256276	-0,0001986	14
20.04.2010	-0,0251192	0,0167204	-0,0196950	-0,0214843	0,0259989	0,0780142	-0,0334870	0,0440949	0,0021019	0,0130344	0,0067331	-0,0233751	-0,0014150	-0,0536264	-0,3195737	0,0578322	-0,1122031	-0,0602372	-0,0645872	1,8064171	-0,2372627	0,1400308	-0,1047517	-0,0673466	0,0167204	-0,0914021	-0,0520470	14
27.04.2010	-0,0047060	-0,0275717	-0,0065515	-0,0054784	0,0711757	0,0688232	0,0741766	0,0703307	-0,0124524	0,0171294	0,0037151	-0,0627693	-0,1358043	-0,0554775	-0,0920540	-0,0317268	-0,0525578	-0,0987460	-0,0185638	-0,0994665	-0,0544162	-0,0748900	0,0422508	0,0081785	-0,0275717	0,0196256	0,0012002	16
04.05.2010	0,0014698	0,0462187	0,0064826	0,0044991	0,0519507	0,1272237	-0,0435857	0,0789506	0,0108887	0,0543939	0,0300336	-0,1009936	-0,0188989	-0,0256433	-0,3736182	0,0490276	-0,0908286	0,0118487	0,0211766	0,3501481	0,1484018	0,2376530	-0,1832734	-0,0373910	0,0462187	-0,0629233	-0,0215397	15
11.05.2010	0,0056917	-0,0147736	0,0035345	0,0044864	0,0352720	0,0244190	0,0515067	0,0312049	0,0130587	0,0322999	0,0170189	-0,0793797	0,1823379	-0,0139945	0,0089361	-0,0333427	-0,0237040	0,0405455	-0,0533284	0,1873746	-0,0686469	0,0549101	-0,1614597	0,0226840	-0,0147736	0,0354550	0,0150908	17
18.05.2010	0,0272645	0,0792600	0,0267380	0,0240597	-0,0101660	-0,1068445	0,1307273	-0,0461570	0,0153394	-0,0111002	0,0038839	0,1098767	0,0110847	0,0910546	0,8546680	-0,0145766	0,1902200	0,0528080	0,0128872	-0,2222164	0,1422652	-0,0557228	0,0257846	0,0453158	0,0792600	0,0343041	0,0519943	19
25.05.2010	0,0458608	-0,0183598	0,0471622	0,0506835	0,0435047	-0,0570249	0,1592286	0,0084611	0,0102872	-0,0137556	-0,0044260	0,0543752	0,1546612	0,0577275	0,2424989	-0,0114121	0,0818062	0,1039159	0,0888820	-0,2188433	0,1494449	-0,0153374	0,1772066	0,0167131	-0,0183598	0,0285854	0,0096336	20
